MODEL,CV_METHOD,RMSE_AVG,R2_AVG
LR,RNDM_CV_LOFO,0.04986251605278534,0.9226424689585976
LR,RNDM_TEST_LOFO,0.1223180728087902,0.5547056082681129
RF,RNDM_CV_LOFO,0.038276146966240085,0.9542127687238174
RF,RNDM_TEST_LOFO,0.18658273543238524,-0.0361171858858893
LR,GKF_CV_LOFO,0.0955478208942627,-0.7493929793572522
LR,GKF_TEST_LOFO,0.1223180728087902,0.5547056082681129
RF,GKF_CV_LOFO,0.06630454525176593,0.7675631869216327
RF,GKF_TEST_LOFO,0.18658273543238524,-0.03611718588588886
LR,SP_CV_LOFO,0.0588169558224438,0.8269363807697374
LR,SP_TEST_LOFO,0.1223180728087902,0.5547056082681129
RF,SP_CV_LOFO,0.051718118207547,0.84560797646595
RF,SP_TEST_LOFO,0.18658273543238527,-0.03611718588588886
